"","TrainNo","AvgDelay"
"1329","05606",53
"1330","05607",49
"1331","05608",13
"1332","05659",0
"1333","05660",6
"1334","05687",9
"1335","05688",17
"1336","05693",8
"1337","05694",11
"1338","05701",26
"1339","05702",22
"1340","05705",14
"1341","05706",30
"1342","05711",0
"1343","05712",12
"1344","05713",124
"1345","05714",118
"1346","05717",16
"1347","05718",28
"1348","05727",18
"1349","05728",23
"1350","05729",18
"1351","05730",13
"1352","05749",19
"1353","05750",23
"1354","05751",7
"1355","05752",11
"1356","05753",0
"1357","05754",0
"1358","05755",128
"1359","05756",63
"1360","05823",15
"1361","05824",11
"1362","05861",10
"1363","05862",13
"1364","05915",8
"1365","05916",0
"1366","05917",12
"1367","05918",14
"1368","06411",21
"1369","06412",50
"1370","06647",0
"1371","06648",0
"1372","06919",13
"1373","06920",34
"1374","07274",31
"1375","07275",70
"1376","07577",61
"1377","07578",20
"1378","07583",12
"1379","07584",7
"1380","07588",31
"1381","07594",86
"1382","07595",32
"1383","07598",0
"1384","07599",22
"1385","07718",11
"1386","07719",10
"1387","07720",12
"1388","07721",5
"1389","07970",62
"1390","07971",20
"1391","08155",19
"1392","08156",11
"1393","08212",61
"1394","08269",27
"1395","08270",44
"1396","08271",7
"1397","08272",6
"1398","08275",68
"1399","08276",9
"1400","08277",21
"1401","08278",12
"1402","08279",63
"1403","08280",79
"1404","08281",31
"1405","08282",42
"1406","08283",0
"1407","08284",53
"1408","08285",0
"1409","08286",0
"1410","08317",12
"1411","08318",14
"1412","08407",17
"1413","08408",41
"1414","08423",43
"1415","08424",33
"1416","08441",50
"1417","08442",42
"1418","08443",109
"1419","08444",26
"1420","08503",75
"1421","08504",37
"1422","08531",32
"1423","08532",34
"1424","08533",22
"1425","08534",23
"1426","08545",63
"1427","08546",69
"1428","08551",77
"1429","08552",95
"1430","08607",19
"1431","08608",0
"1432","08617",11
"1433","08618",4
"1434","09071",0
"1435","09072",0
"1436","09164",31
"1437","09169",13
"1438","09170",10
"1439","09181",18
"1440","09182",7
"1441","09475",11
"1442","09476",4
"1443","09481",20
"1444","09482",22
"1445","09483",6
"1446","09484",26
"1447","09503",10
"1448","09504",20
"1449","09506",12
"1450","09507",8
"1451","09531",0
"1452","09532",0
"1453","09549",0
"1454","09550",13
"1455","09567",38
"1456","09568",31
"1457","09571",8
"1458","09572",4
"1459","09573",14
"1460","09574",12
"1461","09577",8
"1462","09578",8
"1463","09581",9
"1464","09582",6
"1465","09583",15
"1466","09584",16
"1467","09587",13
"1468","09588",11
"1469","01575",20
"1470","01580",18
"1471","01588",10
"1472","01589",13
"1473","01870",2
"1474","04913",80
"1475","04936",44
"1476","06736",7
"1477","06737",3
"1478","44002",6
"1479","63548",0
"1480","64514",0
"1481","64515",0
"1482","66011",8
"1483","67266",0
"1484","69104",0
"1485","69143",0
"1486","69144",0
"1487","71112",0
"1488","71113",0
"1489","71116",0
"1490","71117",0
"1491","72171",0
"1492","72172",0
"1493","72173",0
"1494","72174",0
"1495","72175",0
"1496","72176",0
"1497","73430",0
"1498","74601",0
"1499","74602",0
"1500","74603",0
"1501","74604",0
"1502","74605",0
"1503","74606",0
"1504","74607",0
"1505","74608",0
"1506","74626",0
"1507","74627",0
"1508","74628",0
"1509","74629",0
"1510","74630",0
"1511","74631",0
"1512","74632",0
"1513","74633",0
"1514","74634",0
"1515","74635",0
"1516","74636",0
"1517","74637",0
"1518","74638",0
"1519","74639",0
"1520","74640",0
"1521","74643",0
"1522","74644",0
"1523","74647",0
"1524","74648",0
"1525","74651",0
"1526","74658",0
"1527","74671",0
"1528","74675",0
"1529","74684",0
"1530","74801",0
"1531","74802",0
"1532","74803",0
"1533","74804",0
"1534","74805",0
"1535","74806",0
"1536","74807",0
"1537","74808",0
"1538","74809",0
"1539","74810",0
"1540","74811",0
"1541","74812",0
"1542","74813",0
"1543","74814",0
"1544","74815",0
"1545","74816",0
"1546","74817",0
"1547","74818",0
"1548","74831",0
"1549","74832",0
"1550","74837",0
"1551","74838",0
"1552","74839",0
"1553","74840",0
"1554","74843",0
"1555","74844",0
"1556","74903",0
"1557","74904",0
"1558","74909",0
"1559","74910",0
"1560","74914",0
"1561","74915",0
"1562","74916",0
"1563","74917",0
"1564","74918",0
"1565","74919",0
"1566","74920",0
"1567","74923",0
"1568","74931",0
"1569","74932",0
"1570","74933",0
"1571","74934",0
"1572","74935",0
"1573","74936",0
